Using Linear models for grid size (6, 6).
Grid Size (6, 6) | Epoch [0/200] | D Loss: 1.4054 | G Loss: 0.6762
Grid Size (6, 6) | Epoch [10/200] | D Loss: 1.3666 | G Loss: 0.6774
Grid Size (6, 6) | Epoch [20/200] | D Loss: 1.3168 | G Loss: 0.6697
Grid Size (6, 6) | Epoch [30/200] | D Loss: 1.2998 | G Loss: 0.6795
Grid Size (6, 6) | Epoch [40/200] | D Loss: 1.2586 | G Loss: 0.6805
Grid Size (6, 6) | Epoch [50/200] | D Loss: 1.2547 | G Loss: 0.6859
Grid Size (6, 6) | Epoch [60/200] | D Loss: 1.1899 | G Loss: 0.6981
Grid Size (6, 6) | Epoch [70/200] | D Loss: 1.2201 | G Loss: 0.7015
Grid Size (6, 6) | Epoch [80/200] | D Loss: 1.1941 | G Loss: 0.6901
Grid Size (6, 6) | Epoch [90/200] | D Loss: 1.1509 | G Loss: 0.7176
Grid Size (6, 6) | Epoch [100/200] | D Loss: 1.1570 | G Loss: 0.7111
Grid Size (6, 6) | Epoch [110/200] | D Loss: 1.1442 | G Loss: 0.7243
Grid Size (6, 6) | Epoch [120/200] | D Loss: 1.1419 | G Loss: 0.7259
Grid Size (6, 6) | Epoch [130/200] | D Loss: 1.1196 | G Loss: 0.7357
Grid Size (6, 6) | Epoch [140/200] | D Loss: 1.0412 | G Loss: 0.7354
Grid Size (6, 6) | Epoch [150/200] | D Loss: 1.0712 | G Loss: 0.7630
Grid Size (6, 6) | Epoch [160/200] | D Loss: 1.0586 | G Loss: 0.7555
Grid Size (6, 6) | Epoch [170/200] | D Loss: 0.9761 | G Loss: 0.7451
Grid Size (6, 6) | Epoch [180/200] | D Loss: 1.0575 | G Loss: 0.7822
Grid Size (6, 6) | Epoch [190/200] | D Loss: 1.0403 | G Loss: 0.7755

Training complete for grid size (6, 6).

Generating 200 new examples for grid size (6, 6)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_6x6.json'.
Using Conv models for grid size (9, 9).
