/tmp/ipython-input-4229756810.py:268: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  data_tensor = torch.tensor(grids, dtype=torch.float32)
Using Linear models for grid size (6, 6).
Grid Size (6, 6) | Epoch [0/200] | D Loss: 1.3908 | G Loss: 0.7295
Grid Size (6, 6) | Epoch [10/200] | D Loss: 1.3572 | G Loss: 0.7185
Grid Size (6, 6) | Epoch [20/200] | D Loss: 1.3200 | G Loss: 0.7102
Grid Size (6, 6) | Epoch [30/200] | D Loss: 1.2795 | G Loss: 0.7037
Grid Size (6, 6) | Epoch [40/200] | D Loss: 1.2840 | G Loss: 0.7106
Grid Size (6, 6) | Epoch [50/200] | D Loss: 1.2208 | G Loss: 0.7111
Grid Size (6, 6) | Epoch [60/200] | D Loss: 1.2312 | G Loss: 0.7050
Grid Size (6, 6) | Epoch [70/200] | D Loss: 1.2133 | G Loss: 0.7131
Grid Size (6, 6) | Epoch [80/200] | D Loss: 1.2469 | G Loss: 0.7098
Grid Size (6, 6) | Epoch [90/200] | D Loss: 1.2246 | G Loss: 0.7046
Grid Size (6, 6) | Epoch [100/200] | D Loss: 1.1303 | G Loss: 0.7162
Grid Size (6, 6) | Epoch [110/200] | D Loss: 1.1635 | G Loss: 0.7139
Grid Size (6, 6) | Epoch [120/200] | D Loss: 1.1415 | G Loss: 0.7071
Grid Size (6, 6) | Epoch [130/200] | D Loss: 1.1357 | G Loss: 0.7289
Grid Size (6, 6) | Epoch [140/200] | D Loss: 1.1104 | G Loss: 0.7310
Grid Size (6, 6) | Epoch [150/200] | D Loss: 1.1021 | G Loss: 0.7308
Grid Size (6, 6) | Epoch [160/200] | D Loss: 1.0776 | G Loss: 0.7540
Grid Size (6, 6) | Epoch [170/200] | D Loss: 1.1040 | G Loss: 0.7471
Grid Size (6, 6) | Epoch [180/200] | D Loss: 1.0785 | G Loss: 0.7747
Grid Size (6, 6) | Epoch [190/200] | D Loss: 1.1244 | G Loss: 0.7734

Training complete for grid size (6, 6).

Generating 200 new examples for grid size (6, 6)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_6x6.json'.
Using Conv models for grid size (9, 9).
Grid Size (9, 9) | Epoch [0/200] | D Loss: 1.5624 | G Loss: 0.8794
Grid Size (9, 9) | Epoch [10/200] | D Loss: 0.6025 | G Loss: 1.8479
Grid Size (9, 9) | Epoch [20/200] | D Loss: 0.4808 | G Loss: 2.2617
Grid Size (9, 9) | Epoch [30/200] | D Loss: 0.4758 | G Loss: 2.7073
Grid Size (9, 9) | Epoch [40/200] | D Loss: 0.6319 | G Loss: 2.4022
Grid Size (9, 9) | Epoch [50/200] | D Loss: 0.7772 | G Loss: 2.2664
Grid Size (9, 9) | Epoch [60/200] | D Loss: 0.7126 | G Loss: 1.9785
Grid Size (9, 9) | Epoch [70/200] | D Loss: 0.6301 | G Loss: 2.1345
Grid Size (9, 9) | Epoch [80/200] | D Loss: 0.6007 | G Loss: 2.1617
Grid Size (9, 9) | Epoch [90/200] | D Loss: 0.8688 | G Loss: 1.1182
Grid Size (9, 9) | Epoch [100/200] | D Loss: 0.9296 | G Loss: 1.3880
Grid Size (9, 9) | Epoch [110/200] | D Loss: 0.7940 | G Loss: 1.3511
Grid Size (9, 9) | Epoch [120/200] | D Loss: 0.8548 | G Loss: 1.3800
