
Processing grid size (6, 6) with 216 examples...
Using Linear models for grid size (6, 6).
Grid Size (6, 6) | Epoch [0/500] | D Loss: 1.4296 | G Loss: 0.7890
Grid Size (6, 6) | Epoch [10/500] | D Loss: 1.3865 | G Loss: 0.7792
Grid Size (6, 6) | Epoch [20/500] | D Loss: 1.3438 | G Loss: 0.7681
Grid Size (6, 6) | Epoch [30/500] | D Loss: 1.3198 | G Loss: 0.7587
Grid Size (6, 6) | Epoch [40/500] | D Loss: 1.2908 | G Loss: 0.7652
Grid Size (6, 6) | Epoch [50/500] | D Loss: 1.2396 | G Loss: 0.7641
Grid Size (6, 6) | Epoch [60/500] | D Loss: 1.2312 | G Loss: 0.7512
Grid Size (6, 6) | Epoch [70/500] | D Loss: 1.2100 | G Loss: 0.7596
Grid Size (6, 6) | Epoch [80/500] | D Loss: 1.2349 | G Loss: 0.7573
Grid Size (6, 6) | Epoch [90/500] | D Loss: 1.1830 | G Loss: 0.7521
Grid Size (6, 6) | Epoch [100/500] | D Loss: 1.1307 | G Loss: 0.7542
Grid Size (6, 6) | Epoch [110/500] | D Loss: 1.1758 | G Loss: 0.7655
Grid Size (6, 6) | Epoch [120/500] | D Loss: 1.1889 | G Loss: 0.7758
Grid Size (6, 6) | Epoch [130/500] | D Loss: 1.1523 | G Loss: 0.7745
Grid Size (6, 6) | Epoch [140/500] | D Loss: 1.1265 | G Loss: 0.7989
Grid Size (6, 6) | Epoch [150/500] | D Loss: 1.0949 | G Loss: 0.7952
Grid Size (6, 6) | Epoch [160/500] | D Loss: 1.0937 | G Loss: 0.7906
Grid Size (6, 6) | Epoch [170/500] | D Loss: 1.0394 | G Loss: 0.8128
Grid Size (6, 6) | Epoch [180/500] | D Loss: 1.0459 | G Loss: 0.8218
Grid Size (6, 6) | Epoch [190/500] | D Loss: 1.1035 | G Loss: 0.8060
Grid Size (6, 6) | Epoch [200/500] | D Loss: 1.1048 | G Loss: 0.8200
Grid Size (6, 6) | Epoch [210/500] | D Loss: 1.0602 | G Loss: 0.8394
Grid Size (6, 6) | Epoch [220/500] | D Loss: 1.0832 | G Loss: 0.8306
Grid Size (6, 6) | Epoch [230/500] | D Loss: 1.0027 | G Loss: 0.8481
Grid Size (6, 6) | Epoch [240/500] | D Loss: 0.9879 | G Loss: 0.8079
Grid Size (6, 6) | Epoch [250/500] | D Loss: 0.9988 | G Loss: 0.8219
Grid Size (6, 6) | Epoch [260/500] | D Loss: 1.0344 | G Loss: 0.8494
Grid Size (6, 6) | Epoch [270/500] | D Loss: 1.0075 | G Loss: 0.8943
Grid Size (6, 6) | Epoch [280/500] | D Loss: 1.0762 | G Loss: 0.8964
Grid Size (6, 6) | Epoch [290/500] | D Loss: 1.0004 | G Loss: 0.8617
Grid Size (6, 6) | Epoch [300/500] | D Loss: 1.0485 | G Loss: 0.8743
Grid Size (6, 6) | Epoch [310/500] | D Loss: 1.0492 | G Loss: 0.9029
Grid Size (6, 6) | Epoch [320/500] | D Loss: 1.0450 | G Loss: 0.8836
Grid Size (6, 6) | Epoch [330/500] | D Loss: 1.0168 | G Loss: 0.8664
Grid Size (6, 6) | Epoch [340/500] | D Loss: 1.0309 | G Loss: 0.9180
Grid Size (6, 6) | Epoch [350/500] | D Loss: 1.0436 | G Loss: 0.9017
Grid Size (6, 6) | Epoch [360/500] | D Loss: 1.0287 | G Loss: 0.8677
Grid Size (6, 6) | Epoch [370/500] | D Loss: 1.0853 | G Loss: 0.8595
Grid Size (6, 6) | Epoch [380/500] | D Loss: 1.0664 | G Loss: 0.9078
Grid Size (6, 6) | Epoch [390/500] | D Loss: 1.0324 | G Loss: 0.8706
Grid Size (6, 6) | Epoch [400/500] | D Loss: 1.0042 | G Loss: 0.9037
Grid Size (6, 6) | Epoch [410/500] | D Loss: 1.0809 | G Loss: 0.8639
Grid Size (6, 6) | Epoch [420/500] | D Loss: 1.0881 | G Loss: 0.8678
Grid Size (6, 6) | Epoch [430/500] | D Loss: 1.1362 | G Loss: 0.8912
Grid Size (6, 6) | Epoch [440/500] | D Loss: 1.1685 | G Loss: 0.9061
Grid Size (6, 6) | Epoch [450/500] | D Loss: 1.1481 | G Loss: 0.8786
Grid Size (6, 6) | Epoch [460/500] | D Loss: 1.2143 | G Loss: 0.8707
Grid Size (6, 6) | Epoch [470/500] | D Loss: 1.1150 | G Loss: 0.9342
Grid Size (6, 6) | Epoch [480/500] | D Loss: 1.1073 | G Loss: 0.9015
Grid Size (6, 6) | Epoch [490/500] | D Loss: 1.1482 | G Loss: 0.8971

Training complete for grid size (6, 6).

Generating 200 new examples for grid size (6, 6)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_6x6.json'.

Processing grid size (9, 9) with 352 examples...
Using Conv models for grid size (9, 9).
Grid Size (9, 9) | Epoch [0/500] | D Loss: 1.4122 | G Loss: 1.0237
Grid Size (9, 9) | Epoch [10/500] | D Loss: 1.2829 | G Loss: 1.0968
Grid Size (9, 9) | Epoch [20/500] | D Loss: 1.0987 | G Loss: 1.3989
Grid Size (9, 9) | Epoch [30/500] | D Loss: 0.9739 | G Loss: 1.7651
Grid Size (9, 9) | Epoch [40/500] | D Loss: 0.5077 | G Loss: 2.3884
Grid Size (9, 9) | Epoch [50/500] | D Loss: 0.6861 | G Loss: 1.8675
Grid Size (9, 9) | Epoch [60/500] | D Loss: 0.5861 | G Loss: 2.0406
Grid Size (9, 9) | Epoch [70/500] | D Loss: 0.7323 | G Loss: 1.7713
Grid Size (9, 9) | Epoch [80/500] | D Loss: 0.7292 | G Loss: 1.5680
Grid Size (9, 9) | Epoch [90/500] | D Loss: 0.7329 | G Loss: 1.4415
Grid Size (9, 9) | Epoch [100/500] | D Loss: 0.8771 | G Loss: 1.9081
Grid Size (9, 9) | Epoch [110/500] | D Loss: 1.1580 | G Loss: 1.1565
Grid Size (9, 9) | Epoch [120/500] | D Loss: 1.3387 | G Loss: 1.0892
Grid Size (9, 9) | Epoch [130/500] | D Loss: 1.0300 | G Loss: 1.0589
Grid Size (9, 9) | Epoch [140/500] | D Loss: 0.9139 | G Loss: 1.5069
Grid Size (9, 9) | Epoch [150/500] | D Loss: 1.1270 | G Loss: 1.1485
Grid Size (9, 9) | Epoch [160/500] | D Loss: 1.1330 | G Loss: 1.2207
Grid Size (9, 9) | Epoch [170/500] | D Loss: 1.0264 | G Loss: 1.1826
Grid Size (9, 9) | Epoch [180/500] | D Loss: 0.7922 | G Loss: 1.5330
Grid Size (9, 9) | Epoch [190/500] | D Loss: 0.7067 | G Loss: 1.6569
Grid Size (9, 9) | Epoch [200/500] | D Loss: 0.6430 | G Loss: 1.6581
Grid Size (9, 9) | Epoch [210/500] | D Loss: 0.5526 | G Loss: 1.5791
Grid Size (9, 9) | Epoch [220/500] | D Loss: 0.5186 | G Loss: 1.6539
Grid Size (9, 9) | Epoch [230/500] | D Loss: 0.4798 | G Loss: 1.7781
Grid Size (9, 9) | Epoch [240/500] | D Loss: 0.4736 | G Loss: 1.6228
Grid Size (9, 9) | Epoch [250/500] | D Loss: 0.3880 | G Loss: 2.0953
Grid Size (9, 9) | Epoch [260/500] | D Loss: 0.3832 | G Loss: 2.4059
Grid Size (9, 9) | Epoch [270/500] | D Loss: 0.4042 | G Loss: 2.5232
Grid Size (9, 9) | Epoch [280/500] | D Loss: 0.3068 | G Loss: 2.7136
Grid Size (9, 9) | Epoch [290/500] | D Loss: 0.4018 | G Loss: 2.5373
Grid Size (9, 9) | Epoch [300/500] | D Loss: 0.3975 | G Loss: 2.1150
Grid Size (9, 9) | Epoch [310/500] | D Loss: 0.2368 | G Loss: 2.5809
Grid Size (9, 9) | Epoch [320/500] | D Loss: 0.2495 | G Loss: 2.4902
Grid Size (9, 9) | Epoch [330/500] | D Loss: 0.2531 | G Loss: 3.1868
Grid Size (9, 9) | Epoch [340/500] | D Loss: 0.2289 | G Loss: 3.0586
Grid Size (9, 9) | Epoch [350/500] | D Loss: 0.1837 | G Loss: 3.2237
Grid Size (9, 9) | Epoch [360/500] | D Loss: 0.1867 | G Loss: 2.3919
Grid Size (9, 9) | Epoch [370/500] | D Loss: 0.1673 | G Loss: 2.9783
Grid Size (9, 9) | Epoch [380/500] | D Loss: 0.1466 | G Loss: 3.3987
Grid Size (9, 9) | Epoch [390/500] | D Loss: 0.4355 | G Loss: 4.4520
Grid Size (9, 9) | Epoch [400/500] | D Loss: 0.1835 | G Loss: 2.9937
Grid Size (9, 9) | Epoch [410/500] | D Loss: 0.1533 | G Loss: 3.1315
Grid Size (9, 9) | Epoch [420/500] | D Loss: 0.1393 | G Loss: 2.8473
Grid Size (9, 9) | Epoch [430/500] | D Loss: 0.2260 | G Loss: 3.0525
Grid Size (9, 9) | Epoch [440/500] | D Loss: 0.1420 | G Loss: 3.0033
Grid Size (9, 9) | Epoch [450/500] | D Loss: 0.1506 | G Loss: 3.1597
Grid Size (9, 9) | Epoch [460/500] | D Loss: 0.1515 | G Loss: 3.7603
Grid Size (9, 9) | Epoch [470/500] | D Loss: 0.2040 | G Loss: 3.6058
Grid Size (9, 9) | Epoch [480/500] | D Loss: 0.1357 | G Loss: 2.9580
