Processing grid size (6, 6) with 216 examples...
Using Linear models for grid size (6, 6).
Grid Size (6, 6) | Epoch [0/1000] | D Loss: 1.3646 | G Loss: 0.6573
Grid Size (6, 6) | Epoch [10/1000] | D Loss: 1.3609 | G Loss: 0.6530
Grid Size (6, 6) | Epoch [20/1000] | D Loss: 1.3387 | G Loss: 0.6498
Grid Size (6, 6) | Epoch [30/1000] | D Loss: 1.3143 | G Loss: 0.6525
Grid Size (6, 6) | Epoch [40/1000] | D Loss: 1.3157 | G Loss: 0.6475
Grid Size (6, 6) | Epoch [50/1000] | D Loss: 1.2874 | G Loss: 0.6588
Grid Size (6, 6) | Epoch [60/1000] | D Loss: 1.2765 | G Loss: 0.6519
Grid Size (6, 6) | Epoch [70/1000] | D Loss: 1.2830 | G Loss: 0.6622
Grid Size (6, 6) | Epoch [80/1000] | D Loss: 1.2535 | G Loss: 0.6652
Grid Size (6, 6) | Epoch [90/1000] | D Loss: 1.2494 | G Loss: 0.6704
Grid Size (6, 6) | Epoch [100/1000] | D Loss: 1.2359 | G Loss: 0.6741
Grid Size (6, 6) | Epoch [110/1000] | D Loss: 1.2381 | G Loss: 0.6665
Grid Size (6, 6) | Epoch [120/1000] | D Loss: 1.2195 | G Loss: 0.6690
Grid Size (6, 6) | Epoch [130/1000] | D Loss: 1.1758 | G Loss: 0.6763
Grid Size (6, 6) | Epoch [140/1000] | D Loss: 1.1840 | G Loss: 0.6849
Grid Size (6, 6) | Epoch [150/1000] | D Loss: 1.2018 | G Loss: 0.6718
Grid Size (6, 6) | Epoch [160/1000] | D Loss: 1.1868 | G Loss: 0.6737
Grid Size (6, 6) | Epoch [170/1000] | D Loss: 1.1711 | G Loss: 0.6782
Grid Size (6, 6) | Epoch [180/1000] | D Loss: 1.1751 | G Loss: 0.6936
Grid Size (6, 6) | Epoch [190/1000] | D Loss: 1.1246 | G Loss: 0.6818
Grid Size (6, 6) | Epoch [200/1000] | D Loss: 1.1396 | G Loss: 0.6864
Grid Size (6, 6) | Epoch [210/1000] | D Loss: 1.1000 | G Loss: 0.6942
Grid Size (6, 6) | Epoch [220/1000] | D Loss: 1.1212 | G Loss: 0.6916
Grid Size (6, 6) | Epoch [230/1000] | D Loss: 1.1087 | G Loss: 0.6965
Grid Size (6, 6) | Epoch [240/1000] | D Loss: 1.1101 | G Loss: 0.7131
